folder_name,input_folder,output_folder
1000A_469885.3712,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1000A_469885.3712,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1000A_469885.3712
1001A_870520.1741,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1001A_870520.1741,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1001A_870520.1741
1002A_566493.1109,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1002A_566493.1109,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1002A_566493.1109
1003A_328247.9308,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1003A_328247.9308,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1003A_328247.9308
1004A_857630.1812,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1004A_857630.1812,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1004A_857630.1812
1005A_215634.5631,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1005A_215634.5631,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1005A_215634.5631
1006A_386379.3068,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1006A_386379.3068,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1006A_386379.3068
1007A_571076.5343,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1007A_571076.5343,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1007A_571076.5343
1008A_538175.4012,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1008A_538175.4012,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1008A_538175.4012
1009A_502855.4978,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1009A_502855.4978,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1009A_502855.4978
100A_540633.1403,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/100A_540633.1403,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/100A_540633.1403
1010A_354560.7574,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1010A_354560.7574,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1010A_354560.7574
1011A_631235.8052,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1011A_631235.8052,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1011A_631235.8052
1012A_141887.457,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1012A_141887.457,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1012A_141887.457
